Date,Close,High,Low,Open,Volume,SMA_20
2025-04-11,197.2901306152344,198.67409816298056,185.25259829067517,185.29243322025624,87435900.0,208.2991485595703
2025-04-14,201.6411590576172,212.01593914767517,200.28706023476008,210.52244846919623,101352900.0,207.7276382446289
2025-04-15,201.2628173828125,202.62686743682656,198.9329754067001,200.98403365195668,51343900.0,207.2024269104004
2025-04-16,193.4269561767578,199.8290454554037,191.535192242388,197.49920369317184,59732400.0,206.15847625732422
2025-04-17,196.1251983642578,197.9671763411939,193.5763099497932,196.34424488667963,52164700.0,205.30619049072266
2025-04-21,192.3217620849609,192.9589841185958,188.98629374468007,192.43128533414367,46742500.0,204.0561378479004
2025-04-22,198.8732452392578,200.715208155226,195.1196006832811,195.26894368988752,52976400.0,203.01119232177734
2025-04-23,203.71214294433597,207.0973825434984,201.9199510184256,205.1060615575032,52929200.0,202.0578468322754
2025-04-24,207.4657745361328,207.92378505310097,202.0593452871763,204.00088023313933,47311000.0,201.40270233154297
2025-04-25,208.37181091308597,208.8397725246136,205.3051750047529,205.47443545258196,38222300.0,200.67736282348633
2025-04-28,209.2281188964844,210.5822179267899,206.5597557679096,209.0887270195077,38743100.0,200.2910484313965
2025-04-29,210.29345703125,211.31898611202763,207.46576971677675,207.784388363366,36827600.0,199.74741821289064
2025-04-30,211.57785034179688,212.65316547487808,205.7731479657814,208.39173986928208,52286500.0,199.21523742675782
2025-05-01,212.3943023681641,213.62891164873253,207.9934696463897,208.1726964341785,57365700.0,198.68903121948242
2025-05-02,204.4588928222656,206.0917754590827,201.2827333487594,205.19567188008236,101010600.0,198.79656295776368
2025-05-05,198.02691650390625,203.21431440062256,197.34987465543003,202.2186538992821,69018500.0,199.31978225708008
2025-05-06,197.6485748291016,199.7792878471033,196.16505029893813,197.34988881133356,51216500.0,200.16858291625977
2025-05-07,195.39837646484372,198.574535944944,192.41139491378885,198.3057033514284,68536700.0,201.35491180419922
2025-05-08,196.63299560546875,199.1818840286168,193.83517686729027,196.86199326420865,50478900.0,201.28720703125
2025-05-09,197.66847229003903,199.6697443694255,196.6827629534363,198.1364339272832,36453900.0,201.69094772338866
2025-05-12,210.1504821777344,210.62903686932515,206.12274573806783,210.32994399020487,63775800.0,202.33396530151367
2025-05-13,212.28399658203125,212.75257189298435,208.36592688565327,209.79158118866215,51909300.0,202.86610717773436
2025-05-14,211.6858367919922,213.29095299553776,209.94114592781207,211.78552428530423,49325800.0,203.38725814819335
2025-05-15,210.8085021972656,212.3139309113297,208.90429308394448,210.31001909194575,45029500.0,204.25633544921874
2025-05-16,210.6190643310547,211.92510277199543,209.1335944967917,211.71573318604425,54737900.0,204.98102874755858
2025-05-19,208.14659118652344,208.84446444770492,203.64029993754312,207.27923550566183,46140500.0,205.77227020263672
2025-05-20,206.232421875,207.83753801206535,204.40797196423648,207.03996203611737,42496600.0,206.14022903442384
2025-05-21,201.47689819335935,206.4118779017609,200.10109516487896,204.54755595275296,59211800.0,206.028466796875
2025-05-22,200.7490997314453,202.1348820380274,199.09413231135568,200.1010778345708,46742400.0,205.69263305664063
2025-05-23,194.67758178710935,197.10020219746903,192.8730755135501,193.0824298832746,78432900.0,205.0079216003418
2025-05-27,199.60260009765625,200.1309909415137,196.83102019804124,197.6983910952664,56288500.0,204.5266456604004
2025-05-28,199.8119659423828,202.11495545301855,199.29353925378825,199.98144837254893,45339700.0,204.00257110595703
2025-05-29,199.3433837890625,203.19167383577107,197.90775006205251,202.9623758748587,51396800.0,203.3908477783203
2025-05-30,200.24066162109372,201.3472946799051,196.18300200128655,198.7651407343476,70819900.0,202.7831657409668
2025-06-02,201.08807373046875,201.51677709467236,199.51286535414476,199.6723835925692,35423300.0,202.61462478637696
2025-06-03,202.6533203125,203.1518034040851,200.3503308633764,200.73914706631285,46381600.0,202.84594497680663
2025-06-04,202.2046661376953,205.6142882803356,201.4868493484558,202.2943894332265,43604000.0,203.07374954223633
2025-06-05,200.0213165283203,204.12881205428332,199.54276184010465,202.8826044104843,55126100.0,203.30489654541014
2025-06-06,203.30133056640625,205.07592905349443,201.4370087789868,202.3841235560851,46607700.0,203.63831329345703
2025-06-09,200.8388214111328,205.3750202901374,199.41316716451476,203.7699042317972,72862600.0,203.7968307495117
2025-06-10,202.0551300048828,203.73004106569937,199.9615101944825,199.99141796230995,54672600.0,203.39206314086914
2025-06-11,198.1769256591797,203.8795731269679,197.80805305990708,202.88260699920767,60989900.0,202.68670959472655
2025-06-12,198.5956573486328,199.07419684911244,196.7612432530472,198.476026276637,43904600.0,202.0322006225586
2025-06-13,195.85400390625,199.76210952406475,195.1062792678608,199.1240517744725,51447300.0,201.28447570800782
2025-06-16,197.81802368164065,198.08720880439395,195.9636660151664,196.701426450214,43020700.0,200.6444236755371
2025-06-17,195.04644775390625,197.78810453675544,194.61775963167676,196.6017124403596,38856200.0,199.98941650390626
2025-06-18,195.98361206054688,196.9706140480472,194.47819861622497,195.34555431850023,45394700.0,199.4769760131836
2025-06-20,200.39019775390625,201.08807102199276,196.2627584683704,197.63857663438117,96813500.0,199.42264099121093
2025-06-23,200.888671875,201.686247808318,198.3563846401482,201.01828233775663,55814300.0,199.42961959838868
2025-06-24,199.69232177734372,202.8227948624406,199.5926190778996,201.97536755465325,54064000.0,199.68035659790038
2025-06-25,200.948486328125,203.052085424857,200.0113357524488,200.8388194477268,39525700.0,199.74765090942384
2025-06-26,200.39019775390625,202.025221644493,198.854876564116,200.81888589983927,50799100.0,199.7765625
2025-06-27,200.469970703125,202.6034778198992,199.39324535272064,201.27751091280396,73188600.0,199.83289184570313
2025-06-30,204.54754638671875,206.7608124915243,198.6554726965608,201.39712965217612,91912800.0,200.04823608398436
2025-07-01,207.18951416015625,209.55231908550664,205.5146031050056,206.04299395149744,78788900.0,200.35330810546876
2025-07-02,211.7954864501953,212.69274987948137,207.5085290616707,208.2761972389462,67941800.0,200.8104164123535
2025-07-03,212.9021148681641,213.9987684566969,211.16738836812712,211.5063531929921,34955800.0,201.34528884887695
2025-07-07,209.3130340576172,215.57398008038285,208.16652910348648,212.0347473083985,50229000.0,201.80987472534179
2025-07-08,209.37286376953125,210.78855393169587,207.8175989494771,209.46260228799343,42848900.0,202.11345138549805
2025-07-09,210.4994354248047,210.6888614301138,206.59132988433592,208.8943192909964,48749400.0,202.59648208618165
2025-07-10,211.76559448242188,212.8323404073814,209.39281005517992,209.8713495723348,44443600.0,203.0820053100586
2025-07-11,210.5193634033203,211.4864217284832,209.22330444266436,209.9311570606941,39765800.0,203.69912719726562
2025-07-14,207.9870758056641,210.27013683517245,206.91035052542597,209.293099043616,38840100.0,204.1686981201172
